"name","ipadd4","ipadd6","cluster","portgroup","privnet","mac","dhcpfqdn"
"gb-glo-sgng1zz48-01","77.68.19.38","2a00:da00:181f:8000::59","glo1-vc10-cl01","vmvlan294","privnet3799","00:50:56:a1:cf:3c","glo1-dhcp11.por-ngcs.lan"
"gb-glo-sgng1zz48-02","77.68.19.39","2a00:da00:181f:8000::5a","glo1-vc10-cl02","vmvlan294","privnet3799","00:50:56:a1:f8:70","glo1-dhcp11.por-ngcs.lan"
"gb-glo-sgng1zz49-01","77.68.19.40","2a00:da00:181f:8000::5b","glo1-vc11-cl01","vmvlan295","privnet3799","00:50:56:84:09:36","glo1-dhcp11.por-ngcs.lan"
"gb-glo-sgng1zz49-02","77.68.19.41","2a00:da00:181f:8000::5c","glo1-vc11-cl02","vmvlan295","privnet3799","00:50:56:84:2b:c0","glo1-dhcp11.por-ngcs.lan"
"gb-glo-sgng1zz51-01","77.68.19.42","2a00:da00:181f:8000::5d","glo1-vc12-cl01","vmvlan296","privnet3799","00:50:56:b0:1e:01","glo1-dhcp11.por-ngcs.lan"
"gb-glo-sgng1zz51-02","77.68.19.43","2a00:da00:181f:8000::5e","glo1-vc12-cl02","vmvlan296","privnet3799","00:50:56:b0:87:df","glo1-dhcp11.por-ngcs.lan"
"gb-glo-sgng1zz52-01","77.68.19.44","2a00:da00:181f:8000::5f","glo1-vc12-cl01","vmvlan297","privnet3799","00:50:56:b0:a3:f1","glo1-dhcp11.por-ngcs.lan"
"gb-glo-sgng1zz52-02","77.68.19.45","2a00:da00:181f:8000::60","glo1-vc12-cl02","vmvlan297","privnet3799","00:50:56:b0:82:e9","glo1-dhcp11.por-ngcs.lan"
"gb-glo-sgng1zz53-01","77.68.19.46","2a00:da00:181f:8000::61","glo1-vc13-cl01","vmvlan298","privnet3799","00:50:56:b2:f7:32","glo1-dhcp11.por-ngcs.lan"
"gb-glo-sgng1zz53-02","77.68.19.47","2a00:da00:181f:8000::62","glo1-vc13-cl02","vmvlan298","privnet3799","00:50:56:b2:8b:e5","glo1-dhcp11.por-ngcs.lan"
